distance,minute,hour,GEOID
41.91112349,51.00099931,0.850016655,130159608012
43.29270956,52.45742745,0.874290458,130159608013
43.61867014,54.26905549,0.904484258,130351503001
39.11462884,49.85380527,0.830896755,130351503002
41.26359856,53.15628076,0.885938013,130351503003
35.22820662,49.89342542,0.83155709,130351503004
43.21655106,50.3153509,0.838589182,130459101011
41.40832194,47.1558813,0.785931355,130459101012
45.62434432,50.47950818,0.841325136,130459101031
44.36162591,47.8927747,0.798212912,130459101032
44.3298849,55.36421987,0.922736998,130459106001
40.21774716,50.29165253,0.838194209,130459108002
46.2428368,63.35467248,1.055911208,130351501011
41.37060131,57.55597605,0.959266268,130351501021
43.63520305,55.9766499,0.932944165,130351502011
44.2381897,57.86784367,0.964464061,130351502012
40.2714366,56.44491093,0.940748516,130351502021
46.90889112,61.05849526,1.017641588,130351502022
37.25013228,51.85130389,0.864188398,130351503005
42.1535293,47.6505261,0.794175435,130459101013
41.22551671,46.18530024,0.769755004,130459101014
42.87967622,48.87035375,0.814505896,130459101033
45.63141611,51.97402013,0.866233669,130459101051
44.62823011,49.84433077,0.830738846,130459101063
50.45588515,57.70417466,0.961736244,130459102011
46.77650128,52.12769111,0.868794852,130459102022
50.21804523,54.17887984,0.902981331,130459102031
53.30841782,57.53488157,0.958914693,130459106004
55.38012901,60.60139441,1.01002324,130459106005
44.93730082,55.70757348,0.928459558,130459107041
41.43717369,51.71008632,0.861834772,130459107042
42.44533882,52.7973251,0.879955418,130459107051
39.57391979,49.06807228,0.817801205,130459107052
39.50768032,49.38106565,0.823017761,130459107053
38.7963181,50.04641508,0.834106918,130459107061
37.93008517,48.25591506,0.804265251,130459107062
39.28161891,52.33195827,0.872199305,130459107063
37.68114247,47.16977728,0.786162955,130459107071
39.04865042,49.50084676,0.825014113,130459107072
36.42487552,45.97970173,0.766328362,130459107073
43.14441886,55.53314489,0.925552415,130459107081
42.26883831,53.930816,0.898846933,130459107082
41.6876998,52.92110736,0.882018456,130459107091
40.77782384,51.17796628,0.852966105,130459107092
40.72724317,50.44868012,0.840811335,130459107093
36.54951642,45.21920984,0.753653497,130459108003
46.75499909,51.85923454,0.864320576,130459102023
48.11424824,54.91998113,0.915333019,130459102021
46.98393905,52.29989968,0.871664995,130459101062
44.6074296,50.86947421,0.84782457,130459101061
43.31753475,48.96588942,0.816098157,130459101053
47.70751947,53.36547308,0.889424551,130459101052
46.23135301,59.64436806,0.994072801,130459110011
49.94455483,60.72298945,1.012049824,130459110012
45.42708691,58.03456099,0.967242683,130459110021
52.96333216,63.9453624,1.06575604,130459110022
41.60409288,52.76815779,0.879469297,130570909051
41.87590087,54.88355719,0.914725953,130570909052
