GEOID,NAME,variable,population,moe,distance,minute,hour,geometry
130630404271,"Block Group 1, Census Tract 404.27, Clayton County, Georgia",B01003_001,1464,477,13.07553186,19.39764212,0.323294035,"list(list(c(-84.291441, -84.290139, -84.287779, -84.28684, -84.283787, -84.28218, -84.282221, -84.27814, -84.278256, -84.278655, -84.283289, -84.284661, -84.284491, -84.286643, -84.2867, -84.289579, -84.292203, -84.291441, 33.570809, 33.573878, 33.576102, 33.577911, 33.577204, 33.57721, 33.575344, 33.574487, 33.572761, 33.568437, 33.565774, 33.566655, 33.565397, 33.564387, 33.565233, 33.566817, 33.569141, 33.570809)))"
130459101061,"Block Group 1, Census Tract 9101.06, Carroll County, Georgia",B01003_001,2920,759,44.6074296,50.86947421,0.84782457,"list(list(c(-84.974632, -84.973941, -84.970761, -84.964416, -84.950689, -84.94419, -84.937061, -84.935056, -84.93471, -84.933844, -84.933834, -84.932816, -84.931303, -84.935508, -84.937371, -84.939223, -84.942355, -84.946126, -84.947436, -84.948192, -84.949447, -84.959274, -84.963288, -84.964289, -84.971513, -84.973923, -84.97326, -84.97295, -84.972094, -84.972042, -84.97213, -84.972197, -84.97229, -84.972419, -84.974532, -84.974632, 33.746806, 33.749252, 33.751847, 33.752959, 33.753993, 33.754902, 
33.755586, 33.754332, 33.754104, 33.754118, 33.75351, 33.752417, 33.749768, 33.746938, 33.739333, 33.730516, 33.730432, 33.731321, 33.73158, 33.731719, 33.73195, 33.733639, 33.734004, 33.734057, 33.734901, 33.736486, 33.737291, 33.73762, 33.738231, 33.738366, 33.739884, 33.740301, 33.740423, 33.742024, 33.744773, 33.746806)))"
132470603173,"Block Group 3, Census Tract 603.17, Rockdale County, Georgia",B01003_001,828,328,28.61420318,37.5842432,0.626404053,"list(list(c(-84.032508, -84.024906, -84.021764, -84.024295, -84.024916, -84.024896, -84.024863, -84.024805, -84.029745, -84.02971, -84.029718, -84.029724, -84.030281, -84.031719, -84.032508, 33.686638, 33.688991, 33.689192, 33.685516, 33.684059, 33.68193, 33.680327, 33.674083, 33.674188, 33.677556, 33.680387, 33.681708, 33.68308, 33.6855, 33.686638)))"
130890234224,"Block Group 4, Census Tract 234.22, DeKalb County, Georgia",B01003_001,1029,350,12.80632458,17.28194068,0.288032345,"list(list(c(-84.262009, -84.262317, -84.258282, -84.255967, -84.250829, -84.24953, -84.247832, -84.247471, -84.25106, -84.253898, -84.256188, -84.256576, -84.257764, -84.259773, -84.262971, -84.262009, 33.672379, 33.673789, 33.674301, 33.674124, 33.674603, 33.674227, 33.672095, 33.669917, 33.66814, 33.66911, 33.668882, 33.669611, 33.669219, 33.670121, 33.670212, 33.672379)))"
132171005031,"Block Group 1, Census Tract 1005.03, Newton County, Georgia",B01003_001,2523,1180,36.25747811,45.61478685,0.760246448,"list(list(c(-83.955862, -83.951331, -83.946745, -83.944029, -83.942914, -83.941513, -83.936399, -83.931588, -83.931583, -83.931652, -83.936452, -83.936897, -83.942178, -83.948641, -83.948667, -83.945078, -83.941619, -83.946422, -83.949876, -83.950728, -83.95546, -83.955862, 33.596077, 33.596013, 33.595751, 33.593927, 33.591596, 33.590676, 33.590881, 33.591373, 33.586504, 33.579478, 33.57992, 33.579923, 33.579329, 33.579091, 33.580016, 33.581928, 33.586001, 33.588761, 33.588571, 33.590268, 33.592987, 
33.596077)))"
131510705082,"Block Group 2, Census Tract 705.08, Henry County, Georgia",B01003_001,1991,676,29.42349284,40.53460099,0.675576683,"list(list(c(-84.207808, -84.204587, -84.203416, -84.199537, -84.198425, -84.195356, -84.193921, -84.190466, -84.191303, -84.19251, -84.193915, -84.194027, -84.192844, -84.186868, -84.182939, -84.180058, -84.176689, -84.178009, -84.177929, -84.179048, -84.177806, -84.176455, -84.176953, -84.185635, -84.190576, -84.20536, -84.206832, -84.207808, 33.340607, 33.344041, 33.350147, 33.351163, 33.352891, 33.353527, 33.355962, 33.357496, 33.358867, 33.360349, 33.362689, 33.366774, 33.366392, 33.366217, 33.364905, 
33.36447, 33.361593, 33.356944, 33.350875, 33.349097, 33.343747, 33.339955, 33.33598, 33.335665, 33.335988, 33.335913, 33.33764, 33.340607)))"
131210066011,"Block Group 1, Census Tract 66.01, Fulton County, Georgia",B01003_001,554,172,8.67484326,13.06281853,0.217713642,"list(list(c(-84.426055, -84.423693, -84.42301, -84.418293, -84.418075, -84.418137, -84.418162, -84.423222, -84.424081, -84.426731, -84.426055, 33.714631, 33.721251, 33.722275, 33.726554, 33.718309, 33.714348, 33.71114, 33.710013, 33.710341, 33.712662, 33.714631)))"
131210005012,"Block Group 2, Census Tract 5.01, Fulton County, Georgia",B01003_001,470,227,14.14035203,21.66130488,0.361021748,"list(list(c(-84.39979, -84.395361, -84.395029, -84.393685, -84.392036, -84.391998, -84.392101, -84.393234, -84.39753, -84.398713, -84.398743, -84.399787, -84.400856, -84.39979, 33.793601, 33.797076, 33.797344, 33.796271, 33.791512, 33.791419, 33.79139, 33.791088, 33.791151, 33.791135, 33.792359, 33.792305, 33.792707, 33.793601)))"
131210078101,"Block Group 1, Census Tract 78.10, Fulton County, Georgia",B01003_001,1703,826,13.13852076,17.3083969,0.288473282,"list(list(c(-84.518182, -84.51784, -84.516272, -84.515328, -84.514744, -84.514083, -84.513904, -84.513861, -84.514211, -84.512335, -84.510232, -84.507846, -84.507881, -84.508212, -84.508232, -84.506059, -84.506056, -84.507149, -84.518227, -84.518182, 33.710005, 33.711584, 33.713865, 33.715313, 33.717358, 33.719894, 33.720621, 33.722063, 33.725092, 33.724247, 33.723799, 33.719802, 33.719345, 33.717024, 33.716439, 33.713014, 33.710311, 33.708462, 33.708086, 33.710005)))"
130670303353,"Block Group 3, Census Tract 303.35, Cobb County, Georgia",B01003_001,919,186,35.37670345,50.54440341,0.842406724,"list(list(c(-84.432903, -84.432529, -84.430115, -84.427761, -84.426336, -84.426358, -84.42702, -84.423398, -84.421599, -84.418833, -84.418829, -84.420868, -84.424924, -84.430895, -84.436279, -84.432903, 34.009534, 34.012143, 34.015295, 34.015298, 34.015693, 34.010872, 34.008558, 34.008482, 34.009336, 34.006525, 34.003812, 34.003785, 34.004622, 34.004245, 34.00476, 34.009534)))"
